 
****************************************
Report : power
        -cell
        -analysis_effort low
        -verbose
        -sort_mode cell_internal_power
Design : cv32e40p_controller_COREV_CLUSTER
Version: T-2022.03-SP3
Date   : Sun Jun  1 19:52:43 2025
****************************************


Library(s) Used:

    saed32rvt_tt0p78v25c (File: /usr/local/synopsys/pdk/SAED32_EDK/lib/stdcell_rvt/db_ccs/saed32rvt_tt0p78v25c.db)


Operating Conditions: tt0p78v25c   Library: saed32rvt_tt0p78v25c
Wire Load Model Mode: enclosed

Design        Wire Load Model            Library
------------------------------------------------
cv32e40p_controller_COREV_CLUSTER
                       8000              saed32rvt_tt0p78v25c


Global Operating Voltage = 0.78 
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1pW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U25                        0.0000    0.0213   2.13e-02 (0%)    59356.3086  
U26                        0.0000 5.893e-03   5.89e-03 (0%)    58360.9609  
U27                        0.0000 9.076e-03   9.08e-03 (0%)    59356.3086  
U28                        0.0000 7.150e-03   7.15e-03 (0%)    58360.9609  
U32                        0.0000 5.334e-04   5.33e-04 (0%)    56926.7109  
U33                        0.0000 2.552e-03   2.55e-03 (0%)    58174.3594  
U34                        0.0000 1.960e-03   1.96e-03 (0%)    56926.7109  
U35                        0.0000 5.169e-04   5.17e-04 (0%)    58174.3594  
U36                        0.0000 3.920e-04   3.92e-04 (0%)    56926.7109  
U37                        0.0000 1.141e-03   1.14e-03 (0%)    58174.3594  
U38                        0.0000 9.216e-04   9.22e-04 (0%)    56926.7109  
U39                        0.0000 1.777e-06   1.78e-06 (0%)    56926.7109  
U41                        0.0000 1.493e-03   1.49e-03 (0%)    59356.3086  
U43                        0.0000    0.0145   1.45e-02 (0%)    161901.9062
                                                                           
U45                        0.0000    0.0290   2.90e-02 (0%)    119171.2969
                                                                           
U46                        0.0000 7.675e-03   7.67e-03 (0%)    63182.5312  
U47                        0.0000 1.582e-04   1.58e-04 (0%)    63182.5312  
U50                        0.0000 4.826e-04   4.83e-04 (0%)    59411.3711  
U52                        0.0000 1.657e-04   1.66e-04 (0%)    78585.3438  
U53                        0.0000    0.0000      0.000 (N/A)   102554.6016
                                                                           
U54                        0.0000 2.949e-04   2.95e-04 (0%)    78585.3438  
U55                        0.0000    0.0100   1.00e-02 (0%)    78585.3438  
U56                        0.0000 7.105e-03   7.11e-03 (0%)    78585.3438  
U57                        0.0000    0.0000      0.000 (N/A)   78585.3438  
U58                        0.0000 5.685e-05   5.69e-05 (0%)    63452.3789  
U59                        0.0000 6.605e-03   6.60e-03 (0%)    58360.9609  
U60                        0.0000 9.715e-05   9.71e-05 (0%)    65205.3594  
U61                        0.0000    0.0138   1.38e-02 (0%)    52340.1016  
U62                        0.0000    0.0144   1.44e-02 (0%)    78585.3438  
U63                        0.0000 4.373e-05   4.37e-05 (0%)    63452.3789  
U64                        0.0000 6.353e-03   6.35e-03 (0%)    78585.3438  
U65                        0.0000 4.855e-05   4.86e-05 (0%)    59411.3711  
U67                        0.0000 4.211e-05   4.21e-05 (0%)    59411.3711  
U68                        0.0000 8.693e-03   8.69e-03 (0%)    52340.1016  
U69                        0.0000    0.0102   1.02e-02 (0%)    59356.3086  
U75                        0.0000 6.806e-03   6.81e-03 (0%)    161901.9062
                                                                           
U76                        0.0000 6.951e-04   6.95e-04 (0%)    52340.1016  
U77                        0.0000 1.374e-03   1.37e-03 (0%)    52340.1016  
U79                        0.0000 6.407e-03   6.41e-03 (0%)    65205.3594  
U80                        0.0000 2.843e-03   2.84e-03 (0%)    78585.3438  
U81                        0.0000 1.642e-03   1.64e-03 (0%)    52340.1016  
U82                        0.0000 7.926e-05   7.93e-05 (0%)    102554.6016
                                                                           
U83                        0.0000 2.646e-03   2.65e-03 (0%)    102554.6016
                                                                           
U84                        0.0000 5.863e-05   5.86e-05 (0%)    78585.3438  
U85                        0.0000 5.057e-05   5.06e-05 (0%)    59356.3086  
U86                        0.0000 2.974e-05   2.97e-05 (0%)    75197.8672  
U87                        0.0000 8.467e-03   8.47e-03 (0%)    52340.1016  
U88                        0.0000 1.971e-03   1.97e-03 (0%)    56926.7109  
U89                        0.0000 7.090e-05   7.09e-05 (0%)    65205.3594  
U90                        0.0000 7.095e-04   7.10e-04 (0%)    56926.7109  
U93                        0.0000 2.691e-03   2.69e-03 (0%)    69029.2109  
U94                        0.0000 5.103e-03   5.10e-03 (0%)    63813.2617  
U95                        0.0000 2.777e-03   2.78e-03 (0%)    69029.2109  
U96                        0.0000 5.347e-03   5.35e-03 (0%)    63813.2617  
U97                        0.0000 5.370e-03   5.37e-03 (0%)    63182.5312  
U98                        0.0000 5.230e-03   5.23e-03 (0%)    65205.3594  
U100                       0.0000    0.0107   1.07e-02 (0%)    52340.1016  
U101                       0.0000 2.289e-03   2.29e-03 (0%)    56926.7109  
U102                       0.0000 8.020e-03   8.02e-03 (0%)    52340.1016  
U106                       0.0000 3.035e-04   3.03e-04 (0%)    58174.3594  
U107                       0.0000 2.360e-03   2.36e-03 (0%)    52340.1016  
U108                       0.0000 1.494e-06   1.49e-06 (0%)    161901.9062
                                                                           
U109                       0.0000 1.314e-04   1.31e-04 (0%)    78585.3438  
U110                       0.0000 5.094e-03   5.09e-03 (0%)    78585.3438  
U111                       0.0000 4.718e-06   4.72e-06 (0%)    78585.3438  
U112                       0.0000    0.0219   2.19e-02 (0%)    63452.3789  
U113                       0.0000 2.786e-06   2.79e-06 (0%)    64943.4414  
U115                       0.0000 9.769e-03   9.77e-03 (0%)    102554.6016
                                                                           
U116                       0.0000 5.127e-04   5.13e-04 (0%)    102554.6016
                                                                           
U117                       0.0000    0.0135   1.35e-02 (0%)    63182.5312  
U118                       0.0000 3.132e-03   3.13e-03 (0%)    89749.5078  
U119                       0.0000 8.049e-04   8.05e-04 (0%)    161901.9062
                                                                           
U120                       0.0000 5.352e-05   5.35e-05 (0%)    78585.3438  
U121                       0.0000    0.0000      0.000 (N/A)   102554.6016
                                                                           
U124                       0.0000 4.299e-04   4.30e-04 (0%)    63182.5312  
U125                       0.0000    0.0105   1.05e-02 (0%)    94700.7500  
U126                       0.0000 6.747e-03   6.75e-03 (0%)    52340.1016  
U128                       0.0000    0.0157   1.57e-02 (0%)    65205.3594  
U129                       0.0000 7.765e-03   7.76e-03 (0%)    65205.3594  
U130                       0.0000 5.720e-03   5.72e-03 (0%)    161901.9062
                                                                           
U131                       0.0000 4.865e-06   4.87e-06 (0%)    78585.3438  
U132                       0.0000    0.0000      0.000 (N/A)   52340.1016  
U133                       0.0000 5.205e-03   5.20e-03 (0%)    52340.1016  
